66.249.65.153 bot - "2018-03-25 04:03:45" http://promotionalcommunications.org/index.php/pc/article/view/13 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
150.204.37.230 - - "2018-03-25 04:08:12" http://promotionalcommunications.org/index.php/pc/article/view/95 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko"
150.204.37.230 - - "2018-03-25 04:08:52" http://promotionalcommunications.org/index.php/pc/article/view/95 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko"
5.151.174.184 - - "2018-03-25 04:09:08" http://promotionalcommunications.org/index.php/pc/article/view/95 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/604.5.6 (KHTML, like Gecko) Version/11.0.3 Safari/604.5.6"
5.151.174.184 - - "2018-03-25 04:09:17" http://promotionalcommunications.org/index.php/pc/article/download/95/109 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/604.5.6 (KHTML, like Gecko) Version/11.0.3 Safari/604.5.6"
5.151.174.184 - - "2018-03-25 04:11:47" http://promotionalcommunications.org/index.php/pc/article/view/95 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/604.5.6 (KHTML, like Gecko) Version/11.0.3 Safari/604.5.6"
5.151.174.184 - - "2018-03-25 04:11:52" http://promotionalcommunications.org/index.php/pc/article/download/95/109 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/604.5.6 (KHTML, like Gecko) Version/11.0.3 Safari/604.5.6"
5.151.174.184 - - "2018-03-25 04:12:46" http://promotionalcommunications.org/index.php/pc/article/view/95 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/604.5.6 (KHTML, like Gecko) Version/11.0.3 Safari/604.5.6"
5.151.174.184 - - "2018-03-25 04:12:50" http://promotionalcommunications.org/index.php/pc/article/download/95/109 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/604.5.6 (KHTML, like Gecko) Version/11.0.3 Safari/604.5.6"
66.249.65.155 bot - "2018-03-25 04:20:13" http://promotionalcommunications.org/index.php/pc/article/download/66/79 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.155 bot - "2018-03-25 04:22:13" http://promotionalcommunications.org/index.php/pc/article/view/74 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.65.216 bot - "2018-03-25 04:23:33" http://promotionalcommunications.org/index.php/pc/article/download/98/113 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.153 bot - "2018-03-25 04:24:55" http://promotionalcommunications.org/index.php/pc/article/view/77 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.155 bot - "2018-03-25 04:30:13" http://promotionalcommunications.org/index.php/pc/article/download/83/94 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.218 bot - "2018-03-25 04:39:48" http://promotionalcommunications.org/index.php/pc/article/download/45/60 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.216 bot - "2018-03-25 04:40:09" http://promotionalcommunications.org/index.php/pc/article/download/74/85 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
80.227.114.194 - - "2018-03-25 04:46:25" http://promotionalcommunications.org/index.php/pc/article/download/42/52 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/603.3.8 (KHTML, like Gecko) Version/10.1.2 Safari/603.3.8"
217.105.3.43 - - "2018-03-25 04:47:14" http://promotionalcommunications.org/index.php/pc/article/download/95/109 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
66.249.65.156 bot - "2018-03-25 04:47:58" http://promotionalcommunications.org/index.php/pc/article/view/71 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
148.251.237.246 - - "2018-03-25 04:48:21" http://promotionalcommunications.org/index.php/pc/article/download/86/98 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36"
66.249.65.218 bot - "2018-03-25 04:48:55" http://promotionalcommunications.org/index.php/pc/article/view/90 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.153 bot - "2018-03-25 04:51:27" http://promotionalcommunications.org/index.php/pc/article/view/14 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
119.236.7.189 - - "2018-03-25 04:55:36" http://promotionalcommunications.org/index.php/pc/article/view/112 200 "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36"
152.78.0.144 - - "2018-03-25 04:57:17" http://promotionalcommunications.org/index.php/pc/article/download/113/121 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_2) AppleWebKit/604.4.7 (KHTML, like Gecko) Version/11.0.2 Safari/604.4.7"
66.249.65.156 bot - "2018-03-25 04:59:10" http://promotionalcommunications.org/index.php/pc/index 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.65.219 bot - "2018-03-25 04:59:15" http://promotionalcommunications.org/index.php/pc/article/download/24/21 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.219 bot - "2018-03-25 05:00:18" http://promotionalcommunications.org/index.php/pc/article/download/11/70 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.155 bot - "2018-03-25 05:01:03" http://promotionalcommunications.org/index.php/pc/article/view/82 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
105.156.104.247 - - "2018-03-25 05:01:13" http://promotionalcommunications.org/index.php/pc/index 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1"
105.156.104.247 - - "2018-03-25 05:01:15" http://promotionalcommunications.org/index.php/pc/index 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1"
66.249.65.216 bot - "2018-03-25 05:01:52" http://promotionalcommunications.org/index.php/pc/article/download/98/113 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.155 bot - "2018-03-25 05:03:07" http://promotionalcommunications.org/index.php/pc/article/view/75 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.216 bot - "2018-03-25 05:05:35" http://promotionalcommunications.org/index.php/pc/article/view/82 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.219 bot - "2018-03-25 05:07:40" http://promotionalcommunications.org/index.php/pc/article/view/20 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.218 bot - "2018-03-25 05:07:49" http://promotionalcommunications.org/index.php/pc/issue/view/14 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.153 bot - "2018-03-25 05:08:33" http://promotionalcommunications.org/index.php/pc/article/download/40/56 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.156 bot - "2018-03-25 05:17:36" http://promotionalcommunications.org/index.php/pc/article/view/62 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.65.155 bot - "2018-03-25 05:20:44" http://promotionalcommunications.org/index.php/pc/article/download/101/117 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.218 bot - "2018-03-25 05:21:02" http://promotionalcommunications.org/index.php/pc/article/view/95 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.153 bot - "2018-03-25 05:23:48" http://promotionalcommunications.org/index.php/pc/article/download/113/121 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.156 bot - "2018-03-25 05:25:02" http://promotionalcommunications.org/index.php/pc/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.219 bot - "2018-03-25 05:25:23" http://promotionalcommunications.org/index.php/pc/article/download/113/121 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.153 bot - "2018-03-25 05:25:25" http://promotionalcommunications.org/index.php/pc/article/download/53/68 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.155 bot - "2018-03-25 05:26:50" http://promotionalcommunications.org/index.php/pc/article/view/95 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.65.156 bot - "2018-03-25 05:32:46" http://promotionalcommunications.org/index.php/pc/article/download/98/113 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
14.192.214.251 - - "2018-03-25 05:44:04" http://promotionalcommunications.org/index.php/pc/index 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1"
14.192.214.251 - - "2018-03-25 05:44:05" http://promotionalcommunications.org/index.php/pc/index 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1"
107.21.1.8 - - "2018-03-25 05:51:35" http://promotionalcommunications.org/index.php/pc/index 200 "Mozilla/5.0 (compatible; DuckDuckGo-Favicons-Bot/1.0; +http://duckduckgo.com)"
80.63.34.153 - - "2018-03-25 05:53:28" http://promotionalcommunications.org/index.php/pc/article/download/42/52 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
66.249.65.216 bot - "2018-03-25 05:54:32" http://promotionalcommunications.org/index.php/pc/article/download/91/105 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
157.55.39.248 bot - "2018-03-25 05:56:33" http://promotionalcommunications.org/index.php/pc/article/download/85/108 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 7_0 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11A465 Safari/9537.53 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
123.125.67.226 - - "2018-03-25 05:57:46" http://promotionalcommunications.org/index.php/pc/article/download/116/124 200 "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.93 Safari/537.36"
123.125.67.227 - - "2018-03-25 05:57:48" http://promotionalcommunications.org/index.php/pc/article/download/116/124 200 "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.93 Safari/537.36"
