220.181.108.170 bot - "2018-06-14 01:22:35" http://promotionalcommunications.org/index.php/pc/article/download/13/13 200 "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
66.249.75.156 bot - "2018-06-14 01:24:10" http://promotionalcommunications.org/index.php/pc/article/download/86/98 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.75.154 bot - "2018-06-14 01:26:34" http://promotionalcommunications.org/index.php/pc/article/view/101 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.75.152 bot - "2018-06-14 01:26:58" http://promotionalcommunications.org/index.php/pc/article/download/101/117 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.75.152 bot - "2018-06-14 01:28:03" http://promotionalcommunications.org/index.php/pc/article/download/90/104 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.47 bot - "2018-06-14 01:28:19" http://promotionalcommunications.org/index.php/pc/article/view/115 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.75.156 bot - "2018-06-14 01:30:09" http://promotionalcommunications.org/index.php/pc/article/download/23/18 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
81.102.141.199 - - "2018-06-14 01:44:03" http://promotionalcommunications.org/index.php/pc/article/view/42 200 ""
213.205.242.193 - - "2018-06-14 01:51:15" http://promotionalcommunications.org/index.php/pc/article/view/70 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:59.0) Gecko/20100101 Firefox/59.0"
213.22.198.188 - - "2018-06-14 02:27:21" http://promotionalcommunications.org/index.php/pc/index 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1"
213.22.198.188 - - "2018-06-14 02:27:33" http://promotionalcommunications.org/index.php/pc/index 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1"
194.66.75.23 - - "2018-06-14 02:36:51" http://promotionalcommunications.org/index.php/pc/index 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.1 Safari/605.1.15"
94.103.231.235 - - "2018-06-14 02:54:02" http://promotionalcommunications.org/index.php/pc/article/view/72 200 "Mozilla/5.0 (Windows NT 5.1; rv:40.1) Gecko/20100101 Firefox/40.1"
194.66.75.23 - - "2018-06-14 02:54:38" http://promotionalcommunications.org/index.php/pc/index 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.1 Safari/605.1.15"
194.66.75.23 - - "2018-06-14 02:54:40" http://promotionalcommunications.org/index.php/pc/index 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.1 Safari/605.1.15"
194.66.75.23 - - "2018-06-14 02:54:46" http://promotionalcommunications.org/index.php/pc/index 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.1 Safari/605.1.15"
194.66.75.23 - - "2018-06-14 02:54:52" http://promotionalcommunications.org/index.php/pc/index 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.1 Safari/605.1.15"
194.66.75.23 - - "2018-06-14 02:55:01" http://promotionalcommunications.org/index.php/pc/issue/view/10 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.1 Safari/605.1.15"
194.66.75.23 - - "2018-06-14 02:55:02" http://promotionalcommunications.org/index.php/pc/index 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.1 Safari/605.1.15"
180.76.15.8 bot - "2018-06-14 02:55:07" http://promotionalcommunications.org/index.php/pc/article/download/72/83 200 "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
180.76.15.25 bot - "2018-06-14 02:55:09" http://promotionalcommunications.org/index.php/pc/article/download/72/83 200 "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
194.66.75.23 - - "2018-06-14 02:55:24" http://promotionalcommunications.org/index.php/pc/article/download/63/82 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.1 Safari/605.1.15"
194.66.75.23 - - "2018-06-14 02:55:36" http://promotionalcommunications.org/index.php/pc/article/download/63/82 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.1 Safari/605.1.15"
180.76.15.156 bot - "2018-06-14 02:56:07" http://promotionalcommunications.org/index.php/pc/article/download/102/126 200 "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
180.76.15.22 bot - "2018-06-14 02:56:09" http://promotionalcommunications.org/index.php/pc/article/download/102/126 200 "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
213.205.242.193 - - "2018-06-14 03:24:53" http://promotionalcommunications.org/index.php/pc/article/view/70 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:59.0) Gecko/20100101 Firefox/59.0"
157.55.39.105 bot - "2018-06-14 04:07:56" http://promotionalcommunications.org/index.php/pc/article/view/47 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 7_0 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11A465 Safari/9537.53 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
51.36.126.219 - - "2018-06-14 04:36:06" http://promotionalcommunications.org/index.php/pc/index 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1"
51.36.126.219 - - "2018-06-14 04:36:07" http://promotionalcommunications.org/index.php/pc/index 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1"
207.46.13.115 bot - "2018-06-14 04:36:36" http://promotionalcommunications.org/index.php/pc/article/view/54 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
212.129.3.60 - - "2018-06-14 04:37:30" http://promotionalcommunications.org/index.php/pc/article/view/120 200 "Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0"
5.188.204.213 - - "2018-06-14 04:39:27" http://promotionalcommunications.org/index.php/pc/article/view/120 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0"
180.76.15.7 bot - "2018-06-14 04:39:47" http://promotionalcommunications.org/index.php/pc/article/download/120/130 200 "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
93.139.169.222 - - "2018-06-14 04:47:35" http://promotionalcommunications.org/index.php/pc/index 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1"
93.139.169.222 - - "2018-06-14 04:47:36" http://promotionalcommunications.org/index.php/pc/index 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1"
66.102.7.169 - - "2018-06-14 04:58:05" http://promotionalcommunications.org/index.php/pc/article/download/55/64 200 "Mozilla/5.0 (Linux; Android 4.2.1; en-us; Nexus 5 Build/JOP40D) AppleWebKit/535.19 (KHTML, like Gecko; googleweblight) Chrome/38.0.1025.166 Mobile Safari/535.19"
152.78.0.247 - - "2018-06-14 05:15:48" http://promotionalcommunications.org/index.php/pc/article/view/113 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36"
157.55.39.105 bot - "2018-06-14 05:19:03" http://promotionalcommunications.org/index.php/pc/article/view/65 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 7_0 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11A465 Safari/9537.53 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
66.249.75.156 bot - "2018-06-14 05:28:20" http://promotionalcommunications.org/index.php/pc/article/download/43/59 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
180.153.236.181 - - "2018-06-14 05:30:09" http://promotionalcommunications.org/index.php/pc/index 200 "Mozilla/5.0(compatible;MSIE9.0;WindowsNT6.1;Trident/5.0)"
89.100.107.145 - - "2018-06-14 05:47:46" http://promotionalcommunications.org/index.php/pc/article/view/120 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.79 Safari/537.36"
91.19.81.115 - - "2018-06-14 05:53:39" http://promotionalcommunications.org/index.php/pc/article/download/118/132 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36"
180.76.15.154 bot - "2018-06-14 05:55:02" http://promotionalcommunications.org/index.php/pc/article/download/117/133 200 "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
180.76.15.31 bot - "2018-06-14 05:55:04" http://promotionalcommunications.org/index.php/pc/article/download/117/133 200 "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
17.58.97.138 - - "2018-06-14 05:55:45" http://promotionalcommunications.org/index.php/pc/issue/view/10 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/600.2.5 (KHTML, like Gecko) Version/8.0.2 Safari/600.2.5 (Applebot/0.1; +http://www.apple.com/go/applebot)"
65.154.226.100 - - "2018-06-14 05:59:39" http://promotionalcommunications.org/index.php/pc/index 200 "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.76 Safari/537.36"
17.58.97.138 - - "2018-06-14 05:59:55" http://promotionalcommunications.org/index.php/pc/index 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/600.2.5 (KHTML, like Gecko) Version/8.0.2 Safari/600.2.5 (Applebot/0.1; +http://www.apple.com/go/applebot)"
91.236.74.6 - - "2018-06-14 06:21:33" http://promotionalcommunications.org/index.php/pc/index 200 "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 YaBrowser/17.11.0.2260 Yowser/2.5 Safari/537.36"
